winner,manufacturer,team,tier,early_carnage,early_carnage_lap,total_cautions,green_white_checkered,running_at_finish,attrition_rate
Chase Briscoe,Toyota,Joe Gibbs,strong,True,2.0,5,True,9,0.55
Christopher Bell,Toyota,Joe Gibbs,elite,True,3.0,3,False,5,0.75
Chris Buescher,Ford,RFK,strong,False,,6,True,13,0.35
Austin Cindric,Ford,Penske,strong,True,2.0,6,True,2,0.9
Tyler Reddick,Toyota,23XI,elite,False,,2,True,18,0.1
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,5,True,11,0.45
Kyle Busch,Chevrolet,RCR,strong,True,4.0,6,False,3,0.85
Joey Logano,Ford,Penske,elite,False,,5,True,14,0.3
Austin Cindric,Ford,Penske,strong,False,,4,False,10,0.5
Bubba Wallace,Toyota,23XI,strong,False,,6,True,8,0.6
Daniel Suarez,Chevrolet,Spire,strong,False,,7,True,9,0.55
Joey Logano,Ford,Penske,elite,False,,6,True,8,0.6
Daniel Suarez,Chevrolet,Spire,strong,False,,2,True,19,0.05
Ryan Blaney,Ford,Penske,elite,True,2.0,7,True,0,1.0
Christopher Bell,Toyota,Joe Gibbs,elite,False,,7,False,6,0.7
Kyle Larson,Chevrolet,Hendrick,elite,True,1.0,7,True,4,0.8
Michael McDowell,Chevrolet,Spire,mid,False,,1,True,20,0.0
Joey Logano,Ford,Penske,elite,False,,2,True,19,0.05
Tyler Reddick,Toyota,23XI,elite,True,2.0,4,True,6,0.7
Kyle Larson,Chevrolet,Hendrick,elite,False,,4,True,16,0.2
Tyler Reddick,Toyota,23XI,elite,False,,6,True,11,0.45
Brad Keselowski,Ford,RFK,strong,False,,5,True,10,0.5
Austin Cindric,Ford,Penske,strong,True,1.0,8,True,3,0.85
Bubba Wallace,Toyota,23XI,strong,True,2.0,7,False,0,1.0
Joey Logano,Ford,Penske,elite,True,2.0,6,True,5,0.75
Brad Keselowski,Ford,RFK,strong,True,3.0,5,True,5,0.75
Alex Bowman,Chevrolet,Hendrick,strong,False,,4,True,15,0.25
Daniel Suarez,Chevrolet,Spire,strong,True,2.0,5,False,6,0.7
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,False,,2,True,18,0.1
Chase Elliott,Chevrolet,Hendrick,elite,False,,5,True,11,0.45
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,6,True,12,0.4
Ty Gibbs,Toyota,Joe Gibbs,strong,True,2.0,7,True,2,0.9
Tyler Reddick,Toyota,23XI,elite,True,1.0,4,True,11,0.45
Kyle Larson,Chevrolet,Hendrick,elite,False,,3,True,16,0.2
Alex Bowman,Chevrolet,Hendrick,strong,False,,3,True,18,0.1
Alex Bowman,Chevrolet,Hendrick,strong,False,,2,True,19,0.05
Chase Elliott,Chevrolet,Hendrick,elite,False,,6,True,10,0.5
Chris Buescher,Ford,RFK,strong,False,,3,False,15,0.25
Kyle Larson,Chevrolet,Hendrick,elite,False,,4,True,14,0.3
Daniel Suarez,Chevrolet,Spire,strong,True,3.0,7,True,4,0.8
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,6,True,13,0.35
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,3,False,13,0.35
Alex Bowman,Chevrolet,Hendrick,strong,False,,2,True,19,0.05
Denny Hamlin,Toyota,Joe Gibbs,elite,True,2.0,7,True,0,1.0
William Byron,Chevrolet,Hendrick,elite,False,,8,True,3,0.85
Chase Elliott,Chevrolet,Hendrick,elite,True,1.0,3,False,8,0.6
Ryan Blaney,Ford,Penske,elite,False,,5,True,10,0.5
Ryan Blaney,Ford,Penske,elite,True,4.0,5,False,0,1.0
Chase Elliott,Chevrolet,Hendrick,elite,False,,5,True,10,0.5
Bubba Wallace,Toyota,23XI,strong,False,,0,False,20,0.0
Christopher Bell,Toyota,Joe Gibbs,elite,True,2.0,4,True,5,0.75
Tyler Reddick,Toyota,23XI,elite,False,,4,True,13,0.35
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,4,True,13,0.35
Joey Logano,Ford,Penske,elite,True,3.0,4,False,7,0.65
Austin Cindric,Ford,Penske,strong,False,,6,True,10,0.5
Christopher Bell,Toyota,Joe Gibbs,elite,False,,8,True,11,0.45
Chris Buescher,Ford,RFK,strong,False,,9,True,6,0.7
Chase Briscoe,Toyota,Joe Gibbs,strong,True,2.0,7,True,4,0.8
Michael McDowell,Chevrolet,Spire,mid,False,,7,True,9,0.55
Chase Elliott,Chevrolet,Hendrick,elite,False,,5,False,12,0.4
Kyle Larson,Chevrolet,Hendrick,elite,False,,10,True,7,0.65
Chase Elliott,Chevrolet,Hendrick,elite,True,1.0,7,False,0,1.0
Ryan Blaney,Ford,Penske,elite,False,,4,False,14,0.3
Brad Keselowski,Ford,RFK,strong,True,1.0,5,False,3,0.85
Joey Logano,Ford,Penske,elite,False,,3,True,16,0.2
Ty Gibbs,Toyota,Joe Gibbs,strong,True,4.0,5,True,3,0.85
Chase Briscoe,Toyota,Joe Gibbs,strong,True,1.0,3,True,5,0.75
William Byron,Chevrolet,Hendrick,elite,False,,8,True,5,0.75
Chase Elliott,Chevrolet,Hendrick,elite,False,,7,True,8,0.6
Michael McDowell,Chevrolet,Spire,mid,True,4.0,3,True,9,0.55
Chase Elliott,Chevrolet,Hendrick,elite,True,4.0,5,False,3,0.85
Christopher Bell,Toyota,Joe Gibbs,elite,False,,2,True,19,0.05
Chris Buescher,Ford,RFK,strong,True,2.0,8,True,2,0.9
Kyle Busch,Chevrolet,RCR,strong,False,,4,True,16,0.2
Chase Briscoe,Toyota,Joe Gibbs,strong,True,1.0,7,True,4,0.8
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,3,True,15,0.25
Brad Keselowski,Ford,RFK,strong,False,,4,True,11,0.45
Michael McDowell,Chevrolet,Spire,mid,False,,5,False,12,0.4
Brad Keselowski,Ford,RFK,strong,False,,5,True,13,0.35
Kyle Busch,Chevrolet,RCR,strong,True,4.0,5,True,3,0.85
Kyle Larson,Chevrolet,Hendrick,elite,False,,6,True,13,0.35
Chase Elliott,Chevrolet,Hendrick,elite,False,,3,True,18,0.1
Ross Chastain,Chevrolet,Trackhouse,strong,False,,3,False,14,0.3
Joey Logano,Ford,Penske,elite,True,4.0,7,True,0,1.0
Christopher Bell,Toyota,Joe Gibbs,elite,False,,7,False,8,0.6
Alex Bowman,Chevrolet,Hendrick,strong,False,,6,True,10,0.5
Brad Keselowski,Ford,RFK,strong,False,,4,True,14,0.3
Daniel Suarez,Chevrolet,Spire,strong,False,,7,True,7,0.65
Chris Buescher,Ford,RFK,strong,True,2.0,6,True,3,0.85
Brad Keselowski,Ford,RFK,strong,False,,3,True,16,0.2
Chase Elliott,Chevrolet,Hendrick,elite,False,,5,True,9,0.55
Joey Logano,Ford,Penske,elite,False,,1,True,20,0.0
Alex Bowman,Chevrolet,Hendrick,strong,False,,2,True,17,0.15
Chase Elliott,Chevrolet,Hendrick,elite,False,,2,True,17,0.15
Chase Elliott,Chevrolet,Hendrick,elite,False,,9,True,1,0.95
Denny Hamlin,Toyota,Joe Gibbs,elite,True,5.0,4,True,9,0.55
Chase Elliott,Chevrolet,Hendrick,elite,False,,4,True,14,0.3
Chris Buescher,Ford,RFK,strong,True,2.0,5,False,5,0.75
Joey Logano,Ford,Penske,elite,True,5.0,2,True,13,0.35
Tyler Reddick,Toyota,23XI,elite,False,,2,True,18,0.1
Chris Buescher,Ford,RFK,strong,True,1.0,9,True,0,1.0
Christopher Bell,Toyota,Joe Gibbs,elite,False,,4,True,13,0.35
Brad Keselowski,Ford,RFK,strong,True,2.0,7,False,0,1.0
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,4,True,12,0.4
Christopher Bell,Toyota,Joe Gibbs,elite,False,,6,False,8,0.6
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,5,True,12,0.4
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,False,,2,True,19,0.05
Chase Elliott,Chevrolet,Hendrick,elite,False,,3,True,14,0.3
Austin Cindric,Ford,Penske,strong,False,,3,True,15,0.25
Ryan Blaney,Ford,Penske,elite,True,2.0,5,True,8,0.6
Joey Logano,Ford,Penske,elite,False,,4,True,16,0.2
Brad Keselowski,Ford,RFK,strong,False,,7,False,5,0.75
Ryan Blaney,Ford,Penske,elite,False,,5,False,8,0.6
Daniel Suarez,Chevrolet,Spire,strong,True,4.0,5,True,7,0.65
Ryan Blaney,Ford,Penske,elite,False,,5,True,13,0.35
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,6,True,13,0.35
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,1,True,20,0.0
Austin Cindric,Ford,Penske,strong,False,,4,True,13,0.35
Christopher Bell,Toyota,Joe Gibbs,elite,False,,5,True,14,0.3
William Byron,Chevrolet,Hendrick,elite,False,,5,True,10,0.5
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,False,,7,True,8,0.6
Michael McDowell,Chevrolet,Spire,mid,True,2.0,4,True,3,0.85
Bubba Wallace,Toyota,23XI,strong,True,2.0,7,True,5,0.75
Michael McDowell,Chevrolet,Spire,mid,True,4.0,5,True,10,0.5
Tyler Reddick,Toyota,23XI,elite,False,,5,False,9,0.55
Ross Chastain,Chevrolet,Trackhouse,strong,False,,4,True,15,0.25
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,7,True,5,0.75
Tyler Reddick,Toyota,23XI,elite,False,,7,True,10,0.5
Tyler Reddick,Toyota,23XI,elite,True,3.0,7,True,5,0.75
Daniel Suarez,Chevrolet,Spire,strong,False,,4,True,16,0.2
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,9,True,5,0.75
Chase Elliott,Chevrolet,Hendrick,elite,False,,5,True,10,0.5
Daniel Suarez,Chevrolet,Spire,strong,True,1.0,7,True,1,0.95
Joey Logano,Ford,Penske,elite,True,1.0,3,True,10,0.5
Bubba Wallace,Toyota,23XI,strong,True,1.0,5,True,5,0.75
Alex Bowman,Chevrolet,Hendrick,strong,True,2.0,5,True,5,0.75
Brad Keselowski,Ford,RFK,strong,True,5.0,5,True,4,0.8
Chase Elliott,Chevrolet,Hendrick,elite,False,,4,True,12,0.4
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,8,True,7,0.65
William Byron,Chevrolet,Hendrick,elite,False,,3,True,16,0.2
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,3,True,16,0.2
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,4,False,14,0.3
William Byron,Chevrolet,Hendrick,elite,False,,6,True,9,0.55
Chase Elliott,Chevrolet,Hendrick,elite,True,2.0,8,True,0,1.0
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,5,True,12,0.4
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,True,3.0,3,True,6,0.7
Brad Keselowski,Ford,RFK,strong,True,2.0,5,False,3,0.85
Daniel Suarez,Chevrolet,Spire,strong,False,,6,True,9,0.55
Chase Elliott,Chevrolet,Hendrick,elite,False,,8,True,6,0.7
Tyler Reddick,Toyota,23XI,elite,False,,7,True,11,0.45
Tyler Reddick,Toyota,23XI,elite,False,,3,True,16,0.2
Joey Logano,Ford,Penske,elite,False,,7,True,11,0.45
Austin Cindric,Ford,Penske,strong,True,2.0,4,True,5,0.75
Ty Gibbs,Toyota,Joe Gibbs,strong,True,4.0,7,True,3,0.85
William Byron,Chevrolet,Hendrick,elite,True,2.0,8,True,2,0.9
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,1,False,17,0.15
Kyle Larson,Chevrolet,Hendrick,elite,False,,7,True,6,0.7
Chase Elliott,Chevrolet,Hendrick,elite,False,,7,True,10,0.5
Chase Elliott,Chevrolet,Hendrick,elite,True,2.0,5,False,1,0.95
William Byron,Chevrolet,Hendrick,elite,False,,2,True,17,0.15
Alex Bowman,Chevrolet,Hendrick,strong,True,2.0,6,True,4,0.8
Chase Elliott,Chevrolet,Hendrick,elite,False,,4,True,15,0.25
Kyle Busch,Chevrolet,RCR,strong,False,,4,True,17,0.15
Tyler Reddick,Toyota,23XI,elite,True,2.0,5,True,7,0.65
Chase Elliott,Chevrolet,Hendrick,elite,False,,4,False,13,0.35
Chris Buescher,Ford,RFK,strong,True,1.0,6,True,4,0.8
Ryan Blaney,Ford,Penske,elite,True,3.0,3,False,6,0.7
Joey Logano,Ford,Penske,elite,False,,7,True,9,0.55
Daniel Suarez,Chevrolet,Spire,strong,True,2.0,3,True,12,0.4
Tyler Reddick,Toyota,23XI,elite,False,,8,True,8,0.6
Daniel Suarez,Chevrolet,Spire,strong,False,,5,True,12,0.4
Ryan Blaney,Ford,Penske,elite,True,2.0,5,True,6,0.7
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,2,True,19,0.05
Christopher Bell,Toyota,Joe Gibbs,elite,True,2.0,6,True,4,0.8
Kyle Larson,Chevrolet,Hendrick,elite,False,,3,True,17,0.15
Bubba Wallace,Toyota,23XI,strong,False,,3,True,18,0.1
Christopher Bell,Toyota,Joe Gibbs,elite,True,2.0,6,True,6,0.7
Chase Elliott,Chevrolet,Hendrick,elite,True,4.0,7,True,1,0.95
Ross Chastain,Chevrolet,Trackhouse,strong,False,,3,False,15,0.25
Brad Keselowski,Ford,RFK,strong,False,,2,True,19,0.05
Ross Chastain,Chevrolet,Trackhouse,strong,False,,5,False,10,0.5
Kyle Busch,Chevrolet,RCR,strong,False,,3,True,15,0.25
Chris Buescher,Ford,RFK,strong,False,,4,True,16,0.2
Chase Briscoe,Toyota,Joe Gibbs,strong,True,2.0,5,True,7,0.65
Bubba Wallace,Toyota,23XI,strong,True,1.0,6,True,4,0.8
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,False,,8,True,8,0.6
Chris Buescher,Ford,RFK,strong,True,2.0,4,True,7,0.65
Kyle Larson,Chevrolet,Hendrick,elite,False,,5,True,12,0.4
Daniel Suarez,Chevrolet,Spire,strong,True,2.0,8,True,0,1.0
Austin Cindric,Ford,Penske,strong,True,2.0,4,True,6,0.7
Joey Logano,Ford,Penske,elite,True,2.0,7,True,0,1.0
Bubba Wallace,Toyota,23XI,strong,False,,3,True,15,0.25
Chase Elliott,Chevrolet,Hendrick,elite,True,3.0,6,True,4,0.8
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,True,1.0,4,True,5,0.75
Chase Elliott,Chevrolet,Hendrick,elite,False,,6,True,10,0.5
Daniel Suarez,Chevrolet,Spire,strong,False,,5,True,10,0.5
Christopher Bell,Toyota,Joe Gibbs,elite,False,,5,True,11,0.45
Bubba Wallace,Toyota,23XI,strong,False,,3,True,17,0.15
Ty Gibbs,Toyota,Joe Gibbs,strong,True,4.0,5,True,8,0.6
Chris Buescher,Ford,RFK,strong,False,,3,True,18,0.1
Tyler Reddick,Toyota,23XI,elite,True,3.0,6,True,5,0.75
Christopher Bell,Toyota,Joe Gibbs,elite,False,,6,True,9,0.55
Brad Keselowski,Ford,RFK,strong,False,,4,True,11,0.45
Chase Elliott,Chevrolet,Hendrick,elite,False,,7,False,8,0.6
William Byron,Chevrolet,Hendrick,elite,False,,2,True,18,0.1
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,True,1.0,6,True,6,0.7
Joey Logano,Ford,Penske,elite,False,,4,True,13,0.35
Brad Keselowski,Ford,RFK,strong,False,,5,True,13,0.35
Joey Logano,Ford,Penske,elite,True,3.0,7,True,4,0.8
Kyle Busch,Chevrolet,RCR,strong,False,,8,True,7,0.65
Chris Buescher,Ford,RFK,strong,False,,4,True,14,0.3
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,7,True,7,0.65
Chase Briscoe,Toyota,Joe Gibbs,strong,True,2.0,4,True,7,0.65
Ryan Blaney,Ford,Penske,elite,True,2.0,5,True,2,0.9
William Byron,Chevrolet,Hendrick,elite,False,,2,True,19,0.05
Joey Logano,Ford,Penske,elite,False,,4,False,13,0.35
Austin Cindric,Ford,Penske,strong,True,1.0,5,True,5,0.75
Austin Cindric,Ford,Penske,strong,False,,3,False,16,0.2
Alex Bowman,Chevrolet,Hendrick,strong,False,,4,True,14,0.3
Brad Keselowski,Ford,RFK,strong,False,,2,True,17,0.15
Daniel Suarez,Chevrolet,Spire,strong,False,,5,True,12,0.4
Ryan Blaney,Ford,Penske,elite,True,5.0,5,False,1,0.95
Tyler Reddick,Toyota,23XI,elite,False,,6,True,13,0.35
Kyle Larson,Chevrolet,Hendrick,elite,True,4.0,3,False,5,0.75
William Byron,Chevrolet,Hendrick,elite,False,,4,True,15,0.25
Denny Hamlin,Toyota,Joe Gibbs,elite,True,3.0,6,True,7,0.65
William Byron,Chevrolet,Hendrick,elite,False,,3,True,16,0.2
Christopher Bell,Toyota,Joe Gibbs,elite,True,2.0,9,True,2,0.9
William Byron,Chevrolet,Hendrick,elite,False,,4,True,14,0.3
Daniel Suarez,Chevrolet,Spire,strong,False,,4,True,13,0.35
Kyle Larson,Chevrolet,Hendrick,elite,False,,10,True,6,0.7
Brad Keselowski,Ford,RFK,strong,True,2.0,6,True,5,0.75
Bubba Wallace,Toyota,23XI,strong,True,1.0,5,False,0,1.0
Chase Elliott,Chevrolet,Hendrick,elite,False,,3,True,18,0.1
Austin Cindric,Ford,Penske,strong,False,,4,True,15,0.25
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,6,True,13,0.35
Ty Gibbs,Toyota,Joe Gibbs,strong,True,4.0,6,True,2,0.9
Alex Bowman,Chevrolet,Hendrick,strong,True,4.0,4,False,4,0.8
Joey Logano,Ford,Penske,elite,True,3.0,7,True,1,0.95
Bubba Wallace,Toyota,23XI,strong,True,3.0,4,True,7,0.65
Brad Keselowski,Ford,RFK,strong,False,,0,False,20,0.0
Christopher Bell,Toyota,Joe Gibbs,elite,True,4.0,7,True,0,1.0
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,4,False,13,0.35
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,5,True,11,0.45
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,True,2.0,7,True,0,1.0
Christopher Bell,Toyota,Joe Gibbs,elite,True,5.0,8,True,3,0.85
Daniel Suarez,Chevrolet,Spire,strong,False,,3,True,15,0.25
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,8,True,7,0.65
Kyle Larson,Chevrolet,Hendrick,elite,True,5.0,7,True,0,1.0
William Byron,Chevrolet,Hendrick,elite,False,,8,True,9,0.55
Ryan Blaney,Ford,Penske,elite,False,,4,True,15,0.25
Alex Bowman,Chevrolet,Hendrick,strong,False,,2,True,19,0.05
Chris Buescher,Ford,RFK,strong,False,,8,True,7,0.65
Tyler Reddick,Toyota,23XI,elite,True,1.0,8,True,0,1.0
Ryan Blaney,Ford,Penske,elite,False,,10,True,3,0.85
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,5,True,12,0.4
Ryan Blaney,Ford,Penske,elite,False,,6,True,11,0.45
Kyle Larson,Chevrolet,Hendrick,elite,True,2.0,6,False,7,0.65
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,6,True,14,0.3
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,8,False,8,0.6
Chase Elliott,Chevrolet,Hendrick,elite,True,1.0,5,True,9,0.55
Chase Elliott,Chevrolet,Hendrick,elite,True,2.0,7,True,1,0.95
Austin Cindric,Ford,Penske,strong,False,,3,False,15,0.25
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,2,True,17,0.15
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,3,True,16,0.2
Ryan Blaney,Ford,Penske,elite,False,,9,True,5,0.75
Joey Logano,Ford,Penske,elite,False,,0,False,20,0.0
Daniel Suarez,Chevrolet,Spire,strong,False,,3,True,15,0.25
Christopher Bell,Toyota,Joe Gibbs,elite,True,2.0,8,True,1,0.95
Chase Briscoe,Toyota,Joe Gibbs,strong,True,2.0,6,True,4,0.8
Michael McDowell,Chevrolet,Spire,mid,False,,4,True,13,0.35
Daniel Suarez,Chevrolet,Spire,strong,True,2.0,8,True,0,1.0
Daniel Suarez,Chevrolet,Spire,strong,False,,4,True,13,0.35
Tyler Reddick,Toyota,23XI,elite,False,,6,True,12,0.4
Joey Logano,Ford,Penske,elite,False,,3,True,15,0.25
Joey Logano,Ford,Penske,elite,False,,4,False,12,0.4
William Byron,Chevrolet,Hendrick,elite,False,,2,False,17,0.15
Brad Keselowski,Ford,RFK,strong,False,,5,False,11,0.45
Austin Cindric,Ford,Penske,strong,False,,4,True,15,0.25
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,7,True,10,0.5
Christopher Bell,Toyota,Joe Gibbs,elite,False,,3,True,18,0.1
Chris Buescher,Ford,RFK,strong,False,,1,True,20,0.0
Christopher Bell,Toyota,Joe Gibbs,elite,True,2.0,5,True,8,0.6
Denny Hamlin,Toyota,Joe Gibbs,elite,True,2.0,6,True,5,0.75
Ryan Blaney,Ford,Penske,elite,False,,5,True,12,0.4
William Byron,Chevrolet,Hendrick,elite,False,,7,False,7,0.65
Daniel Suarez,Chevrolet,Spire,strong,False,,6,True,7,0.65
Ross Chastain,Chevrolet,Trackhouse,strong,True,3.0,1,False,14,0.3
Brad Keselowski,Ford,RFK,strong,False,,1,False,18,0.1
Michael McDowell,Chevrolet,Spire,mid,False,,5,False,8,0.6
Ty Gibbs,Toyota,Joe Gibbs,strong,True,1.0,6,True,5,0.75
Christopher Bell,Toyota,Joe Gibbs,elite,False,,4,True,14,0.3
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,3,False,15,0.25
Joey Logano,Ford,Penske,elite,False,,4,True,15,0.25
William Byron,Chevrolet,Hendrick,elite,False,,10,True,3,0.85
Ryan Blaney,Ford,Penske,elite,False,,5,True,10,0.5
Ty Gibbs,Toyota,Joe Gibbs,strong,True,2.0,6,True,3,0.85
Ryan Blaney,Ford,Penske,elite,True,2.0,4,True,9,0.55
Ross Chastain,Chevrolet,Trackhouse,strong,False,,5,True,13,0.35
Christopher Bell,Toyota,Joe Gibbs,elite,True,4.0,3,False,9,0.55
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,4,True,13,0.35
Chris Buescher,Ford,RFK,strong,True,1.0,9,True,0,1.0
Daniel Suarez,Chevrolet,Spire,strong,True,2.0,5,True,10,0.5
Bubba Wallace,Toyota,23XI,strong,True,2.0,3,True,6,0.7
Ryan Blaney,Ford,Penske,elite,False,,6,True,10,0.5
Ryan Blaney,Ford,Penske,elite,False,,7,True,3,0.85
Chase Elliott,Chevrolet,Hendrick,elite,False,,7,True,8,0.6
Bubba Wallace,Toyota,23XI,strong,False,,6,False,11,0.45
Chase Elliott,Chevrolet,Hendrick,elite,False,,6,False,10,0.5
Alex Bowman,Chevrolet,Hendrick,strong,True,3.0,6,True,3,0.85
Chase Elliott,Chevrolet,Hendrick,elite,False,,3,True,15,0.25
William Byron,Chevrolet,Hendrick,elite,True,2.0,3,True,11,0.45
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,False,,5,True,15,0.25
William Byron,Chevrolet,Hendrick,elite,False,,6,True,11,0.45
Chase Elliott,Chevrolet,Hendrick,elite,True,1.0,6,True,6,0.7
Ross Chastain,Chevrolet,Trackhouse,strong,False,,2,True,19,0.05
Christopher Bell,Toyota,Joe Gibbs,elite,False,,3,True,17,0.15
Daniel Suarez,Chevrolet,Spire,strong,False,,7,True,9,0.55
Austin Cindric,Ford,Penske,strong,False,,1,False,18,0.1
William Byron,Chevrolet,Hendrick,elite,True,2.0,4,False,2,0.9
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,3,True,15,0.25
Ross Chastain,Chevrolet,Trackhouse,strong,False,,3,True,14,0.3
Bubba Wallace,Toyota,23XI,strong,True,3.0,7,True,0,1.0
Brad Keselowski,Ford,RFK,strong,True,1.0,8,True,0,1.0
Alex Bowman,Chevrolet,Hendrick,strong,True,1.0,6,False,0,1.0
Denny Hamlin,Toyota,Joe Gibbs,elite,True,1.0,7,True,2,0.9
Austin Cindric,Ford,Penske,strong,False,,4,True,15,0.25
Joey Logano,Ford,Penske,elite,False,,11,True,4,0.8
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,6,True,11,0.45
Alex Bowman,Chevrolet,Hendrick,strong,False,,3,True,14,0.3
Joey Logano,Ford,Penske,elite,True,1.0,7,True,0,1.0
Joey Logano,Ford,Penske,elite,False,,6,True,11,0.45
Joey Logano,Ford,Penske,elite,False,,3,True,15,0.25
Ross Chastain,Chevrolet,Trackhouse,strong,False,,4,True,13,0.35
Michael McDowell,Chevrolet,Spire,mid,False,,1,True,20,0.0
Bubba Wallace,Toyota,23XI,strong,False,,4,True,17,0.15
Michael McDowell,Chevrolet,Spire,mid,True,2.0,7,True,3,0.85
Brad Keselowski,Ford,RFK,strong,False,,7,True,9,0.55
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,9,True,3,0.85
Michael McDowell,Chevrolet,Spire,mid,True,2.0,7,True,1,0.95
Ryan Blaney,Ford,Penske,elite,False,,5,True,12,0.4
Daniel Suarez,Chevrolet,Spire,strong,True,1.0,5,True,10,0.5
Chris Buescher,Ford,RFK,strong,False,,2,True,19,0.05
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,5,True,15,0.25
Ryan Blaney,Ford,Penske,elite,False,,4,False,13,0.35
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,4,True,15,0.25
Kyle Larson,Chevrolet,Hendrick,elite,True,2.0,5,True,5,0.75
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,2,True,19,0.05
Brad Keselowski,Ford,RFK,strong,False,,3,True,15,0.25
Joey Logano,Ford,Penske,elite,True,2.0,4,True,8,0.6
Alex Bowman,Chevrolet,Hendrick,strong,False,,7,False,7,0.65
Kyle Larson,Chevrolet,Hendrick,elite,False,,5,True,10,0.5
Kyle Busch,Chevrolet,RCR,strong,False,,4,True,14,0.3
Joey Logano,Ford,Penske,elite,False,,2,True,18,0.1
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,5,True,12,0.4
Tyler Reddick,Toyota,23XI,elite,True,4.0,8,True,0,1.0
Christopher Bell,Toyota,Joe Gibbs,elite,True,2.0,2,False,10,0.5
Daniel Suarez,Chevrolet,Spire,strong,False,,3,True,17,0.15
Kyle Larson,Chevrolet,Hendrick,elite,False,,2,False,15,0.25
Ross Chastain,Chevrolet,Trackhouse,strong,False,,4,True,12,0.4
Kyle Larson,Chevrolet,Hendrick,elite,True,4.0,8,True,0,1.0
Chase Briscoe,Toyota,Joe Gibbs,strong,True,4.0,7,True,0,1.0
Austin Cindric,Ford,Penske,strong,True,1.0,6,True,4,0.8
Michael McDowell,Chevrolet,Spire,mid,False,,4,True,14,0.3
Ross Chastain,Chevrolet,Trackhouse,strong,True,2.0,8,True,0,1.0
Chase Briscoe,Toyota,Joe Gibbs,strong,False,,3,True,16,0.2
Alex Bowman,Chevrolet,Hendrick,strong,False,,3,True,17,0.15
Alex Bowman,Chevrolet,Hendrick,strong,False,,1,True,20,0.0
Daniel Suarez,Chevrolet,Spire,strong,False,,2,True,18,0.1
Joey Logano,Ford,Penske,elite,False,,2,True,17,0.15
Christopher Bell,Toyota,Joe Gibbs,elite,False,,5,True,11,0.45
Brad Keselowski,Ford,RFK,strong,False,,7,True,9,0.55
Brad Keselowski,Ford,RFK,strong,True,2.0,10,True,0,1.0
Bubba Wallace,Toyota,23XI,strong,True,4.0,5,True,2,0.9
Ty Gibbs,Toyota,Joe Gibbs,strong,True,2.0,5,True,4,0.8
Austin Cindric,Ford,Penske,strong,True,2.0,3,True,11,0.45
Austin Cindric,Ford,Penske,strong,True,2.0,3,True,11,0.45
Kyle Busch,Chevrolet,RCR,strong,True,5.0,4,True,11,0.45
Austin Cindric,Ford,Penske,strong,False,,6,True,11,0.45
Alex Bowman,Chevrolet,Hendrick,strong,True,3.0,4,True,9,0.55
